--- Frequent itemSets ---
--- Minimum Support: 0.001 ---
1. [yogurt], support: 0.08587850030074183
560. [domestic eggs, newspapers], support: 0.0015371249081066632
561. [domestic eggs, rolls/buns], support: 0.003408407404932166
562. [domestic eggs, chicken], support: 0.0010024727661565194
563. [bottled water, domestic eggs], support: 0.002138608567800575
564. [domestic eggs, whole milk], support: 0.005279689901757669
565. [soda, domestic eggs], support: 0.0025395976742631824
566. [root vegetables, domestic eggs], support: 0.002004945532313039
567. [domestic eggs, coffee], support: 0.001403461872619127
568. [tropical fruit, specialty chocolate], support: 0.0013366303548753592
569. [specialty chocolate, rolls/buns], support: 0.0012697988371315912
570. [specialty chocolate, whole milk], support: 0.0013366303548753592
571. [soda, specialty chocolate], support: 0.001403461872619127
572. [tropical fruit, waffles], support: 0.0011361358016440553
573. [tropical fruit, sausage], support: 0.0030742498162133263
574. [tropical fruit, napkins], support: 0.0012697988371315912
575. [tropical fruit, ham], support: 0.0011361358016440553
576. [tropical fruit, frankfurter], support: 0.0013366303548753592
577. [tropical fruit, fruit/vegetable juice], support: 0.002138608567800575
578. [tropical fruit, newspapers], support: 0.001871282496825503
579. [tropical fruit, margarine], support: 0.0014702933903628951
580. [tropical fruit, rolls/buns], support: 0.006081668114682885
581. [tropical fruit, salty snack], support: 0.0010024727661565194
582. [tropical fruit, sugar], support: 0.0010024727661565194
583. [tropical fruit, chicken], support: 0.001403461872619127
584. [tropical fruit, bottled water], support: 0.003542070440419702
585. [tropical fruit, berries], support: 0.0012697988371315912
586. [tropical fruit, UHT-milk], support: 0.0015371249081066632
587. [tropical fruit, cream cheese ], support: 0.001403461872619127
588. [tropical fruit, butter], support: 0.0015371249081066632
589. [tropical fruit, whole milk], support: 0.008220276682483459
590. [tropical fruit, soda], support: 0.005413352937245205
591. [tropical fruit, root vegetables], support: 0.0036757334759072377
592. [tropical fruit, dessert], support: 0.0010693042839002875
593. [tropical fruit, coffee], support: 0.0015371249081066632
594. [waffles, rolls/buns], support: 0.001603956425850431
595. [waffles, whole milk], support: 0.0026064291920069507
596. [waffles, root vegetables], support: 0.0013366303548753592
597. [sausage, frankfurter], support: 0.0014702933903628951
598. [sausage, fruit/vegetable juice], support: 0.001804450979081735
599. [sausage, newspapers], support: 0.001804450979081735
600. [margarine, sausage], support: 0.001871282496825503
601. [sausage, rolls/buns], support: 0.005346521419501437
602. [salty snack, sausage], support: 0.0011361358016440553
603. [sausage, grapes], support: 0.0010693042839002875
604. [sausage, chicken], support: 0.0010693042839002875
605. [bottled water, sausage], support: 0.003141081333957094
606. [sausage, UHT-milk], support: 0.0011361358016440553
607. [cream cheese , sausage], support: 0.0012029673193878234
608. [misc. beverages, sausage], support: 0.0010693042839002875
609. [sausage, butter], support: 0.0019381140145692708
610. [sausage, whole milk], support: 0.008955423377664907
611. [soda, sausage], support: 0.005948005079195348
612. [root vegetables, sausage], support: 0.003341575887188398
613. [dessert, sausage], support: 0.0014702933903628951
614. [sausage, coffee], support: 0.0013366303548753592
615. [napkins, rolls/buns], support: 0.0017376194613379669
616. [napkins, whole milk], support: 0.0024059346387756467
617. [napkins, soda], support: 0.0015371249081066632
618. [napkins, root vegetables], support: 0.0010693042839002875
619. [detergent, rolls/buns], support: 0.0010024727661565194
620. [detergent, whole milk], support: 0.001403461872619127
621. [pickled vegetables, whole milk], support: 0.0010024727661565194
622. [ice cream, rolls/buns], support: 0.0017376194613379669
623. [ice cream, whole milk], support: 0.0019381140145692708
624. [soda, ice cream], support: 0.0012029673193878234
625. [frozen fish, whole milk], support: 0.0010693042839002875
626. [specialty bar, rolls/buns], support: 0.0012029673193878234
627. [specialty bar, whole milk], support: 0.001670787943594199
628. [specialty bar, soda], support: 0.0012697988371315912
629. [ham, rolls/buns], support: 0.0012697988371315912
630. [ham, whole milk], support: 0.0027400922274944863
631. [soda, ham], support: 0.0012029673193878234
632. [chewing gum, whole milk], support: 0.001670787943594199
633. [soda, chewing gum], support: 0.0010024727661565194
634. [hygiene articles, rolls/buns], support: 0.0013366303548753592
635. [hygiene articles, whole milk], support: 0.0017376194613379669
636. [hygiene articles, soda], support: 0.0010693042839002875
637. [hygiene articles, root vegetables], support: 0.0010024727661565194
638. [frankfurter, fruit/vegetable juice], support: 0.0011361358016440553
639. [frankfurter, newspapers], support: 0.0010693042839002875
640. [margarine, frankfurter], support: 0.001603956425850431
641. [frankfurter, rolls/buns], support: 0.0036757334759072377
642. [bottled water, frankfurter], support: 0.002205440085544343
643. [cream cheese , frankfurter], support: 0.0010024727661565194
644. [frankfurter, butter], support: 0.001403461872619127
645. [frankfurter, whole milk], support: 0.005279689901757669
646. [soda, frankfurter], support: 0.0030742498162133263
647. [root vegetables, frankfurter], support: 0.002205440085544343
648. [frankfurter, coffee], support: 0.0014702933903628951
649. [margarine, fruit/vegetable juice], support: 0.0010024727661565194
650. [fruit/vegetable juice, rolls/buns], support: 0.003742564993651006
651. [bottled water, fruit/vegetable juice], support: 0.0012029673193878234
652. [fruit/vegetable juice, butter], support: 0.001403461872619127
653. [fruit/vegetable juice, whole milk], support: 0.004410880171088686
654. [soda, fruit/vegetable juice], support: 0.002138608567800575
655. [root vegetables, fruit/vegetable juice], support: 0.001804450979081735
656. [newspapers, rolls/buns], support: 0.003007418298469558
657. [bottled water, newspapers], support: 0.001804450979081735
658. [butter, newspapers], support: 0.001403461872619127
659. [newspapers, whole milk], support: 0.005613847490476508
660. [soda, newspapers], support: 0.0023391031210318785
661. [root vegetables, newspapers], support: 0.0025395976742631824
662. [margarine, rolls/buns], support: 0.003007418298469558
663. [margarine, chicken], support: 0.0010024727661565194
664. [bottled water, margarine], support: 0.001403461872619127
665. [margarine, butter], support: 0.001403461872619127
666. [margarine, whole milk], support: 0.0040767225823698456
667. [soda, margarine], support: 0.0026064291920069507
668. [root vegetables, margarine], support: 0.0019381140145692708
669. [salty snack, rolls/buns], support: 0.0019381140145692708
670. [rolls/buns, grapes], support: 0.0012029673193878234
671. [chicken, rolls/buns], support: 0.0028737552629820224
672. [bottled water, rolls/buns], support: 0.004678206242063757
673. [candy, rolls/buns], support: 0.0014702933903628951
674. [berries, rolls/buns], support: 0.001670787943594199
675. [rolls/buns, UHT-milk], support: 0.001804450979081735
676. [rolls/buns, oil], support: 0.0013366303548753592
677. [seasonal products, rolls/buns], support: 0.0010024727661565194
678. [cream cheese , rolls/buns], support: 0.001871282496825503
679. [misc. beverages, rolls/buns], support: 0.0013366303548753592
680. [butter, rolls/buns], support: 0.0028737552629820224
681. [rolls/buns, whole milk], support: 0.013967787208447505
682. [soda, rolls/buns], support: 0.008086613646995923
683. [root vegetables, rolls/buns], support: 0.005747510525964045
684. [dessert, rolls/buns], support: 0.002004945532313039
685. [rolls/buns, coffee], support: 0.0024059346387756467
686. [meat, rolls/buns], support: 0.0013366303548753592
687. [red/blush wine, rolls/buns], support: 0.0013366303548753592
688. [salty snack, whole milk], support: 0.0019381140145692708
689. [soda, salty snack], support: 0.001403461872619127
690. [root vegetables, salty snack], support: 0.0010693042839002875
691. [bottled water, sugar], support: 0.0014702933903628951
692. [sugar, whole milk], support: 0.0024727661565194146
693. [soda, sugar], support: 0.0012029673193878234
694. [grapes, whole milk], support: 0.0019381140145692708
695. [soda, grapes], support: 0.001403461872619127
696. [root vegetables, grapes], support: 0.0010693042839002875
697. [bottled water, chicken], support: 0.0013366303548753592
698. [chicken, whole milk], support: 0.003408407404932166
699. [soda, chicken], support: 0.002138608567800575
700. [root vegetables, chicken], support: 0.0010024727661565194
701. [bottled water, berries], support: 0.0010693042839002875
702. [bottled water, UHT-milk], support: 0.0010693042839002875
703. [bottled water, butter], support: 0.001804450979081735
704. [bottled water, whole milk], support: 0.007150972398583172
705. [bottled water, soda], support: 0.0048118692775512934
706. [bottled water, root vegetables], support: 0.0034752389226759338
707. [bottled water, dessert], support: 0.0010693042839002875
708. [bottled water, coffee], support: 0.0015371249081066632
709. [candy, whole milk], support: 0.002138608567800575
710. [soda, candy], support: 0.0012697988371315912
711. [berries, whole milk], support: 0.0022722716032881106
712. [berries, soda], support: 0.0014702933903628951
713. [berries, root vegetables], support: 0.0010693042839002875
714. [herbs, whole milk], support: 0.0011361358016440553
715. [UHT-milk, whole milk], support: 0.0025395976742631824
716. [soda, UHT-milk], support: 0.0012697988371315912
717. [root vegetables, UHT-milk], support: 0.0010024727661565194
718. [oil, whole milk], support: 0.0019381140145692708
719. [soda, oil], support: 0.001804450979081735
720. [cream cheese , whole milk], support: 0.0028737552629820224
721. [soda, cream cheese ], support: 0.0014702933903628951
722. [root vegetables, cream cheese ], support: 0.001603956425850431
723. [pasta, whole milk], support: 0.0010693042839002875
724. [misc. beverages, whole milk], support: 0.001403461872619127
725. [root vegetables, misc. beverages], support: 0.0010024727661565194
726. [semi-finished bread, whole milk], support: 0.001670787943594199
727. [butter, whole milk], support: 0.004678206242063757
728. [soda, butter], support: 0.003141081333957094
729. [root vegetables, butter], support: 0.002004945532313039
730. [soda, whole milk], support: 0.011628684087415625
731. [root vegetables, whole milk], support: 0.00755196150504578
732. [dessert, whole milk], support: 0.0024059346387756467
733. [whole milk, coffee], support: 0.003809396511394774
734. [meat, whole milk], support: 0.002205440085544343
735. [soda, root vegetables], support: 0.005279689901757669
736. [soda, dessert], support: 0.0014702933903628951
737. [soda, coffee], support: 0.0024727661565194146
738. [soda, meat], support: 0.0010024727661565194
739. [root vegetables, dessert], support: 0.0010693042839002875
740. [root vegetables, coffee], support: 0.002004945532313039
741. [root vegetables, meat], support: 0.0013366303548753592
742. [yogurt, other vegetables, whole milk], support: 0.0011361358016440553
743. [yogurt, sausage, whole milk], support: 0.0014702933903628951
744. [yogurt, rolls/buns, whole milk], support: 0.0013366303548753592
745. [other vegetables, rolls/buns, whole milk], support: 0.0012029673193878234
746. [soda, other vegetables, rolls/buns], support: 0.0011361358016440553
747. [soda, other vegetables, whole milk], support: 0.0011361358016440553
748. [sausage, rolls/buns, whole milk], support: 0.0011361358016440553
749. [soda, sausage, whole milk], support: 0.0010693042839002875
750. [soda, rolls/buns, whole milk], support: 0.0010024727661565194
